%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1597380909215503227,60,1596774728592546940,base_link,2,0,-6.87081596451,107.572822079,863.631,3.57487585392,-2.04050665253e-12,-1.47068287865e-14,-2.04056216369e-12,3.57487585392,-2.6060950248e-15,-1.47068287864e-14,-2.60609502479e-15,1.0743626594e-06,3
1597380909415674987,61,1596774728812258959,base_link,2,0,-6.87081578614,107.572819715,863.631,4.01885507503,-1.49813494943e-12,-1.65335265474e-14,-1.49813494943e-12,4.01885507503,-2.67806392623e-15,-1.65335265474e-14,-2.67806392624e-15,1.07439864458e-06,3
1597380909615316026,62,1596774728972059965,base_link,2,0,-6.8708155325,107.572818078,863.631,4.73189256883,-5.49338352585e-13,-1.95347600725e-14,-5.49338352585e-13,4.73189256884,-3.05575519241e-15,-1.95347600725e-14,-3.05575519241e-15,1.07408638295e-06,3
1597380909815893472,63,1596774729171906948,base_link,2,0,-6.87081537041,107.572815733,863.631,2.36315944804,2.36075048399e-13,-9.75118501674e-15,2.36075048399e-13,2.36315944805,-1.6604565688e-15,-9.75118501671e-15,-1.6604565688e-15,1.07428981887e-06,3
1597380910015477543,64,1596774729371442080,base_link,2,0,-6.87081477455,107.572813624,863.631,1.96129553281,3.40866224136e-13,-8.01610924426e-15,3.40866224136e-13,1.96129553281,-1.35065579567e-15,-8.01610924426e-15,-1.35065579567e-15,1.07405136267e-06,3
1597380910215862793,65,1596774729611215115,base_link,2,0,-6.87081424988,107.572810821,863.631,2.64913032206,4.47350489985e-13,-1.08977154317e-14,4.47350489985e-13,2.64913032205,-1.76151180928e-15,-1.08977154318e-14,-1.76151180926e-15,1.0744159281e-06,3
1597380910415268212,66,1596774729810885906,base_link,2,0,-6.87081418718,107.572808407,863.631,2.27671374601,-8.74939010131e-13,-9.36698177464e-15,-8.74952887919e-13,2.276713746,-1.5149024715e-15,-9.36698177464e-15,-1.51490247152e-15,1.07430967998e-06,3
1597380910616053702,67,1596774730010838985,base_link,2,0,-6.87081412083,107.57280645,863.631,1.99288498292,1.55792045931e-13,-8.20319398836e-15,1.55778168143e-13,1.99288498292,-1.32236002285e-15,-8.20319398836e-15,-1.32236002285e-15,1.07457418498e-06,3
1597380910815486208,68,1596774730210633039,base_link,2,0,-6.87081381885,107.572804314,863.631,1.88020391531,4.73010519642e-13,-7.73775714111e-15,4.73010519642e-13,1.88020391531,-1.25254031476e-15,-7.73775714111e-15,-1.25254031476e-15,1.07407387155e-06,3
1597380911016000264,69,1596774730410321951,base_link,2,0,-6.87081361003,107.572801923,863.631,2.45121694928,9.70779012732e-13,-1.00870022681e-14,9.7079289052e-13,2.45121694928,-1.62990315011e-15,-1.00870022681e-14,-1.62990315012e-15,1.07454780631e-06,3
